id	statement	keywords
S-0027	Flow and shear are Helmholtz factors of one field u and not separate vacua.	factors,field,flow,helmholtz,not,one,separate,shear,vacua
S-0028	The field decomposition is u = grad(phi) plus grad_perp(psi).	decomposition,field,grad,grad_perp,phi,plus,psi
S-0029	The flow shear split is operationally computed by bounded-domain Poisson solves with declared boundary conditions.	boundary,bounded-domain,computed,conditions,declared,flow,operationally,poisson,shear,solves,split
S-0030	The ONAL binary emerges as one thing and its shadow: 1 as knot presence and 0 as abstention constraint.	abstention,binary,constraint,emerges,its,knot,onal,one,presence,shadow,thing
S-0031	A knot is a localized rotating coherence that seeds structure.	coherence,knot,localized,rotating,seeds,structure
S-0032	Abstention is the curvature permission structure cast by the knot.	abstention,cast,curvature,knot,permission,structure
S-0033	The ONAL tour is 00 to 01 to 11 to 10 to 00 when tension is nonzero.	00,01,10,11,nonzero,onal,tension,tour,when
S-0034	LOCK is committed memory as a constraint that outlives the seed.	committed,constraint,lock,memory,outlives,seed
S-0035	LOW prunes ONAL tours to two live closures: 1001 and 0110.	0110,1001,closures,live,low,onal,prunes,tours,two
S-0036	LOW pruning explains closure of decisions and persistence of memory.	closure,decisions,explains,low,memory,persistence,pruning
S-0037	The geometric spectral floor is eta = pi - pi_Delta under fixed N=4 perimeter functional P0.	eta,fixed,floor,functional,geometric,p0,perimeter,pi,pi_delta,spectral,under
S-0038	With pinned N=4 procedure, eta is approximately 0.121.	121,approximately,eta,pinned,procedure
S-0039	Eta is the minimum curvature or energy per lock for discreteness embedded in continuum.	continuum,curvature,discreteness,embedded,energy,eta,lock,minimum,per
S-0040	The growth hinge is h = 3/2.	growth,hinge
S-0041	Growth steps pass a 3:2 hinge between stable 3:1 flow-constraint blocks.	between,blocks,flow-constraint,growth,hinge,pass,stable,steps
S-0042	Structure bootstraps through AND self-reference, LOCK first constraint, OR feedback, NOT separation, then AND with memory.	bootstraps,constraint,feedback,first,lock,memory,not,self-reference,separation,structure,through
S-0043	Repeated hinge cycling adds constraint layers and crystallizes lattice from flow.	adds,constraint,crystallizes,cycling,flow,hinge,lattice,layers,repeated
S-0044	The lattice is grown by iterative locking dynamics and is not an assumed background.	assumed,background,dynamics,grown,iterative,lattice,locking,not
S-0045	The Delta engine Hamiltonian is kinetic plus LOW penalty plus abstention term plus coherence term plus memory term.	abstention,coherence,delta,engine,hamiltonian,kinetic,low,memory,penalty,plus,term
S-0046	The LOW penalty suppresses high-order chatter.	chatter,high-order,low,penalty,suppresses
S-0047	The abstention term bends the symplectic manifold to remove blow-up trajectories.	abstention,bends,blow-up,manifold,remove,symplectic,term,trajectories
S-0048	The coherence and memory terms steer trajectories toward stable LOCK tours.	coherence,lock,memory,stable,steer,terms,tours,toward,trajectories
S-0049	The flow-shear meter uses equal-area normalization and bounded-domain Helmholtz decomposition with Neumann conditions.	bounded-domain,conditions,decomposition,equal-area,flow-shear,helmholtz,meter,neumann,normalization,uses
S-0050	The flow-shear energies are E_flow = average_D(|u_in|^2) and E_shear = average_D(|u_out|^2).	average_d,e_flow,e_shear,energies,flow-shear,u_in,u_out
S-0051	The flow-shear gap is eta_FS = (E_shear/E_flow)_square - (E_shear/E_flow)_circle.	_circle,_square,e_flow,e_shear,eta_fs,flow-shear,gap
S-0052	Observed direction is eta_FS > 0 with squares carrying more shear per flow than circles.	carrying,circles,direction,eta_fs,flow,more,observed,per,shear,squares,than
S-0053	The flow-shear band depends on ensemble choice and is treated as a meter rather than a universal constant.	band,choice,constant,depends,ensemble,flow-shear,meter,rather,than,treated,universal
S-0054	The golden-vortex meter uses omega(r) = omega0 / (1 + (r/r0)^alpha) with alpha = phi.	alpha,golden-vortex,meter,omega,omega0,phi,r0,uses
S-0055	Shear profile is S(r) = r * partial_r omega.	omega,partial_r,profile,shear
S-0056	Thickness delta is defined as FWHM of S(r).	defined,delta,fwhm,thickness
S-0057	Thickness scales linearly with spectral floor as delta/r0 = c0 + c1*eta with high R^2.	c0,c1,delta,eta,floor,high,linearly,r0,scales,spectral,thickness
S-0058	At eta = 0.121 and 3DL, delta/r0 lies in the band 2.98 to 3.08.	08,121,3dl,98,band,delta,eta,lies,r0
S-0059	The circle-flow and square-shear correspondence is empirically metered rather than asserted rhetorically.	asserted,circle-flow,correspondence,empirically,metered,rather,rhetorically,square-shear,than
S-0060	Binary persistence is explained by 1 as knot and 0 as cast constraint with LOCK memory.	binary,cast,constraint,explained,knot,lock,memory,persistence
S-0061	Directional growth follows from asymmetry: squares can appear circular by averaging while circles cannot uniquely recover squares.	appear,asymmetry,averaging,can,cannot,circles,circular,directional,follows,growth,recover,squares,uniquely,while
S-0062	LOW preference is explained by higher symplectic cost of high-order tours under abstention.	abstention,cost,explained,high-order,higher,low,preference,symplectic,tours,under
S-0063	Lattice emergence is driven by positive lock-curvature feedback that increases subsequent lock probability.	driven,emergence,feedback,increases,lattice,lock,lock-curvature,positive,probability,subsequent
S-0064	Thickness existence is explained by discreteness imposing a spectral floor read by the golden-vortex meter as delta proportional to eta.	delta,discreteness,eta,existence,explained,floor,golden-vortex,imposing,meter,proportional,read,spectral,thickness
S-0065	Geometry falsifier: if a 3DL-consistent alternative P0 sends eta to 0 or pi-3, Delta geometry fails.	3dl-consistent,alternative,delta,eta,fails,falsifier,geometry,if,p0,pi-3,sends
S-0066	LOW falsifier: if stable Delta dynamics prefer high-order tours over {1001, 0110}, LOW fails.	0110,1001,delta,dynamics,fails,falsifier,high-order,if,low,over,prefer,stable,tours
S-0067	Flow-shear falsifier: if eta_FS is persistently negative under declared ensemble and normalization, square-to-shear claim fails.	claim,declared,ensemble,eta_fs,fails,falsifier,flow-shear,if,negative,normalization,persistently,square-to-shear,under
S-0068	Golden-vortex falsifier: if delta/r0 is not linear in eta with high R^2 or misses the 3DL eta=0.121 band, width claim fails.	121,3dl,band,claim,delta,eta,fails,falsifier,golden-vortex,high,if,linear,misses,not,r0,width
S-0069	Abstention falsifier: if gradients increase and blow-up occurs without hazard triggers, abstention-as-geometry fails.	abstention,abstention-as-geometry,blow-up,fails,falsifier,gradients,hazard,if,increase,occurs,triggers,without
S-0070	Reproducibility requires publishing P0 algorithm and normalization.	algorithm,normalization,p0,publishing,reproducibility,requires
S-0071	Reproducibility requires publishing Helmholtz meter code, seeds, and equal-area protocol.	code,equal-area,helmholtz,meter,protocol,publishing,reproducibility,requires,seeds
S-0072	Reproducibility requires publishing Delta engine integrator, LOW weights, abstention form, and non-blow-up receipts.	abstention,delta,engine,form,integrator,low,non-blow-up,publishing,receipts,reproducibility,requires,weights
S-0073	Reproducibility requires publishing vortex profile protocol, eta sweep, plots, and CSV artifacts.	artifacts,csv,eta,plots,profile,protocol,publishing,reproducibility,requires,sweep,vortex
S-0074	The one-sentence closure is that flow-shear bootstrap plus LOW plus spectral floor yields lattice growth one hinge at a time.	bootstrap,closure,floor,flow-shear,growth,hinge,lattice,low,one,one-sentence,plus,spectral,time,yields
S-0075	Baryon on Delta is modeled as triple-lock derived from tour legality and hinge counting.	baryon,counting,delta,derived,hinge,legality,modeled,tour,triple-lock
S-0076	Confinement is certification failure of illegal tours or under-certified assemblies rather than an added force.	added,assemblies,certification,confinement,failure,force,illegal,rather,than,tours,under-certified
S-0077	Triples are minimal survivors because they close hinge cycles without violating LOW or abstention.	abstention,because,close,cycles,hinge,low,minimal,survivors,they,triples,violating,without
S-0078	Composite claims are tested by compositional sieve plus meters plus falsifiers.	claims,composite,compositional,falsifiers,meters,plus,sieve,tested
S-0079	The confinement claim is that physical composites must pass certification under declared tours, meters, and hazards.	certification,claim,composites,confinement,declared,hazards,meters,must,pass,physical,tours,under
S-0080	Composition is not index arithmetic over survivor addresses.	addresses,arithmetic,composition,index,not,over,survivor
S-0081	A composite candidate is Cert(n_a tensor n_b tensor n_c | tour, meters, hazards).	candidate,cert,composite,hazards,meters,n_a,n_b,n_c,tensor,tour
S-0082	No certificate implies no particle.	certificate,implies,no,particle
S-0083	Live ONAL tours under LOW are 1001 and 0110.	0110,1001,live,low,onal,tours,under
S-0084	Composite legality requires embedding live tours as interleaved sub-tours.	composite,embedding,interleaved,legality,live,requires,sub-tours,tours
S-0085	Legal composition must cross the 3:2 hinge once per accreted block.	accreted,block,composition,cross,hinge,legal,must,once,per
S-0086	Legal composition must return to 3:1 without dead corners 1100 or 0011.	0011,1100,composition,corners,dead,legal,must,return,without
S-0087	Single locks are trivially legal with one hinge per block.	block,hinge,legal,locks,one,per,single,trivially
S-0088	Pairs fail by dead-corner forcing or double-hinge conflict under LOW.	conflict,dead-corner,double-hinge,fail,forcing,low,pairs,under
S-0089	Triples admit braided interleaving of 1001 and 0110 with global return to 3:1.	0110,1001,admit,braided,global,interleaving,return,triples
S-0090	Three is the minimal legal composite cardinality.	cardinality,composite,legal,minimal,three
S-0091	Minimal hinge schedule is hinges = N + (N - 1).	hinge,hinges,minimal,schedule
S-0092	Single has hinge count 1.	count,has,hinge,single
S-0093	Pair has hinge count 3 but fails legality in the middle hinge.	but,count,fails,has,hinge,legality,middle,pair
S-0094	Triple has hinge count 5 with legal braid closure.	braid,closure,count,has,hinge,legal,triple
S-0095	Beyond triples, hinge debt rises superlinearly and is LOW-suppressed unless an additional role-lock participates.	additional,beyond,debt,hinge,low-suppressed,participates,rises,role-lock,superlinearly,triples,unless
S-0096	Pair and separated-quark failure modes include tour illegality.	failure,illegality,include,modes,pair,separated-quark,tour
S-0097	Pair and separated-quark failure modes include LOW explosion from high-order detuning.	detuning,explosion,failure,high-order,include,low,modes,pair,separated-quark
S-0098	Pair and separated-quark failure modes include abstention pinch from over-shear during separation.	abstention,during,failure,include,modes,over-shear,pair,pinch,separated-quark,separation
S-0099	Triple success requires braided LOW-order path plus final relocker settlement.	braided,final,low-order,path,plus,relocker,requires,settlement,success,triple
S-0100	Composite diagnostics use stagewise pre-hinge, mid-hinge, and post-hinge metering.	composite,diagnostics,metering,mid-hinge,post-hinge,pre-hinge,stagewise,use
S-0101	The 2-D Helmholtz meter tracks E_flow, E_shear, and eta_FS = (E_shear/E_flow)_square - (E_shear/E_flow)_circle.	2-d,_circle,_square,e_flow,e_shear,eta_fs,helmholtz,meter,tracks
S-0102	Pair signature is sustained positive eta_FS surge without legal relief.	eta_fs,legal,pair,positive,relief,signature,surge,sustained,without
S-0103	Triple signature is surge-then-relief ending in bounded post-lock eta_FS band.	band,bounded,ending,eta_fs,post-lock,signature,surge-then-relief,triple
S-0104	The 3-D golden-vortex meter tracks thickness delta as FWHM of shear profile.	3-d,delta,fwhm,golden-vortex,meter,profile,shear,thickness,tracks
S-0105	Certified triple thickness settles into the delta/r0 = c0 + c1*eta band.	band,c0,c1,certified,delta,eta,r0,settles,thickness,triple
S-0106	Pair thickness fails to stabilize and drifts or fragments.	drifts,fails,fragments,pair,stabilize,thickness
S-0107	The Delta-field hinge meter tracks corridor time tau_H near 3:2.	corridor,delta-field,hinge,meter,near,tau_h,time,tracks
S-0108	Triples show two extra transient hinge windows beyond constituent hinges, then tau_H declines.	beyond,constituent,declines,extra,hinge,hinges,show,tau_h,transient,triples,two,windows
S-0109	Pairs accumulate tau_H without closure.	accumulate,closure,pairs,tau_h,without
S-0110	Proton-neutron class composites are treated as certified triples produced by scheduler plus meter gates.	certified,class,composites,gates,meter,plus,produced,proton-neutron,scheduler,treated,triples
S-0111	Triple assembly is declared then scheduled by legal hinge braids minimizing LOW penalties.	assembly,braids,declared,hinge,legal,low,minimizing,penalties,scheduled,triple
S-0112	Certification requires Helmholtz surge-relief, vortex settle-in-band, and hinge-window closure.	certification,closure,helmholtz,hinge-window,requires,settle-in-band,surge-relief,vortex
S-0113	Certified composite receives a new ledger address and certificate.	address,certificate,certified,composite,ledger,new,receives
S-0114	Prediction: pair composites do not certify under declared hazards and meters.	certify,composites,declared,do,hazards,meters,not,pair,prediction,under
S-0115	Prediction: at least one triple class certifies with finite hinge debt and final delta in band.	band,certifies,class,debt,delta,final,finite,hinge,least,one,prediction,triple
S-0116	Prediction: attempted quark isolation yields unbounded eta_FS or tau_H without legal relock.	attempted,eta_fs,isolation,legal,prediction,quark,relock,tau_h,unbounded,without,yields
S-0117	Prediction: minimal surviving composite class is N=3.	class,composite,minimal,prediction,surviving
S-0118	Prediction: N=4 needs extra relocker role and stronger LOW suppression.	extra,low,needs,prediction,relocker,role,stronger,suppression
S-0119	Falsifier F1: if any pair certifies under declared P0, meters, and hazards, confinement claim fails.	any,certifies,claim,confinement,declared,f1,fails,falsifier,hazards,if,meters,p0,pair,under
S-0120	Falsifier F2: if no triple certifies under 3DL-equivalent protocols, claim fails.	3dl-equivalent,certifies,claim,f2,fails,falsifier,if,no,protocols,triple,under
S-0121	Falsifier F3: if certified triple delta violates eta-law at eta=0.121, composition claim fails.	121,certified,claim,composition,delta,eta,eta-law,f3,fails,falsifier,if,triple,violates
S-0122	Falsifier F4: if survivor set is unstable across 3DL-equivalent runs, ledger claim fails.	3dl-equivalent,across,claim,f4,fails,falsifier,if,ledger,runs,set,survivor,unstable
S-0123	Methods require pinned P0, eta, and hinge corridor definition.	corridor,definition,eta,hinge,methods,p0,pinned,require
S-0124	Methods require tour scheduler over legal interleavings of 1001 and 0110 with dead-corner rejection.	0110,1001,dead-corner,interleavings,legal,methods,over,rejection,require,scheduler,tour
S-0125	Methods require Delta integrator with LOW weights and abstention nu_eff plus stage checkpoints.	abstention,checkpoints,delta,integrator,low,methods,nu_eff,plus,require,stage,weights
S-0126	Methods require stagewise Helmholtz curves, vortex delta trajectories, and hinge-window logs.	curves,delta,helmholtz,hinge-window,logs,methods,require,stagewise,trajectories,vortex
S-0127	Methods require CRL/3DL evaluation and hazard logging with Delta-Pinch trip to Theta on violation.	3dl,crl,delta-pinch,evaluation,hazard,logging,methods,require,theta,trip,violation
S-0128	Confinement emerges as certification refusal of illegal assemblies with no tuning knob.	assemblies,certification,confinement,emerges,illegal,knob,no,refusal,tuning
S-0129	Quarks remain confined because illegal separations cannot re-certify into stable locks.	because,cannot,confined,illegal,locks,quarks,re-certify,remain,separations,stable
S-0130	Baryons persist because triple assemblies can certify as stable re-locked composites.	assemblies,baryons,because,can,certify,composites,persist,re-locked,stable,triple
S-0131	The Family Meter scores candidate locks by LOW structure, detuning, curvature signature, and abstention hazards.	abstention,candidate,curvature,detuning,family,hazards,locks,low,meter,scores,signature,structure
S-0132	The lepton ledger survivor set is n = {1, 207, 3477} under declared CRL/3DL certification.	207,3477,3dl,certification,crl,declared,ledger,lepton,set,survivor,under
S-0133	Family ratios are computed as relations among certified lock rationals rather than fitted continuum parameters.	among,certified,computed,continuum,family,fitted,lock,parameters,rather,rationals,ratios,relations,than
S-0134	The Family Meter is deterministic and parameter-free under the declared contract.	contract,declared,deterministic,family,meter,parameter-free,under
S-0135	Lepton family claims pass only by certification and fail on any certificate break.	any,break,certificate,certification,claims,fail,family,lepton,only,pass
S-0136	Candidate scoring includes effective LOW order O(n).	candidate,effective,includes,low,order,scoring
S-0137	Candidate scoring includes detuning D(n) from allowed harmonic ratios.	allowed,candidate,detuning,harmonic,includes,ratios,scoring
S-0138	Candidate scoring includes curvature signature C(n) from flow-shear and golden-vortex meters.	candidate,curvature,flow-shear,golden-vortex,includes,meters,scoring,signature
S-0139	Candidate scoring includes hazard state H(n) for blow-up, coherence, memory, and pinch conditions.	blow-up,candidate,coherence,conditions,hazard,includes,memory,pinch,scoring,state
S-0140	A candidate passes iff O(n) <= O_star, D(n) <= D_star, C(n) is in lepton class, and H(n)=0.	candidate,class,d_star,iff,lepton,o_star,passes
S-0141	Each surviving lock must carry Cert(n) with rational form, LOW-detuning scores, meter bands, and audit flags.	audit,bands,carry,cert,each,flags,form,lock,low-detuning,meter,must,rational,scores,surviving
S-0142	CRL constrains rational complexity by bounded digit depth.	bounded,complexity,constrains,crl,depth,digit,rational
S-0143	3DL constrains all comparisons to three significant digits.	3dl,all,comparisons,constrains,digits,significant,three
S-0144	Lepton addresses are certified lock identifiers rather than floating mass parameters.	addresses,certified,floating,identifiers,lepton,lock,mass,parameters,rather,than
S-0145	Family relations are rho_mu_e = r_207/r_1 and rho_tau_e = r_3477/r_1 evaluated at 3DL.	3dl,evaluated,family,r_1,r_207,r_3477,relations,rho_mu_e,rho_tau_e
S-0146	If family relations cannot be represented from certified rationals at 3DL, the claim returns Theta.	3dl,cannot,certified,claim,family,if,rationals,relations,represented,returns,theta
S-0147	Address n=1 is the order-floor survivor in legal LOW tour class.	address,class,legal,low,order-floor,survivor,tour
S-0148	Address n=207 is the next LOW-admissible survivor after sweep with detuning minimum and hazard pass.	207,address,after,detuning,hazard,low-admissible,minimum,next,pass,survivor,sweep
S-0149	Address n=3477 is the third LOW-admissible survivor in the same family class.	3477,address,class,family,low-admissible,same,survivor,third
S-0150	No intermediate addresses survive combined LOW, detuning, and hazard gates at 3DL.	3dl,addresses,combined,detuning,gates,hazard,intermediate,low,no,survive
S-0151	Lepton-class locks must pass 2-D Helmholtz flow-shear class bands.	2-d,bands,class,flow-shear,helmholtz,lepton-class,locks,must,pass
S-0152	Lepton-class locks must be flow-dominant with shear-compatible shell and without bosonic shear overload.	bosonic,flow-dominant,lepton-class,locks,must,overload,shear,shear-compatible,shell,without
S-0153	The flow-shear class metric is eta_FS = (E_shear/E_flow)_square - (E_shear/E_flow)_circle.	_circle,_square,class,e_flow,e_shear,eta_fs,flow-shear,metric
S-0154	Lepton-class locks must pass 3-D golden-vortex width law at bedrock eta.	3-d,bedrock,eta,golden-vortex,law,lepton-class,locks,must,pass,width
S-0155	Width law is delta/r0 = c0 + c1*eta with certified 3DL band at eta = 0.121.	121,3dl,band,c0,c1,certified,delta,eta,law,r0,width
S-0156	GV receipts are class evidence for lepton certification.	certification,class,evidence,gv,lepton,receipts
S-0157	Within 3DL, certified family ratios satisfy dot-equality to 207 and 3477 corridors.	207,3477,3dl,certified,corridors,dot-equality,family,ratios,satisfy,within
S-0158	Digits beyond 3DL are non-claims under the contract.	3dl,beyond,contract,digits,non-claims,under
S-0159	If external measurements cross a 3DL corridor boundary, the certificate is falsified.	3dl,boundary,certificate,corridor,cross,external,falsified,if,measurements
S-0160	LOW audit requires monotone low-order descent and rejects high-order intrusions.	audit,descent,high-order,intrusions,low,low-order,monotone,rejects,requires
S-0161	Any abstention hazard trip in certificate logs returns Theta.	abstention,any,certificate,hazard,logs,returns,theta,trip
S-0162	Any CRL or 3DL contract violation returns Theta.	3dl,any,contract,crl,returns,theta,violation
S-0163	Any meter-band mismatch returns Theta.	any,meter-band,mismatch,returns,theta
S-0164	If a ledger address loses certification, the family claim fails.	address,certification,claim,fails,family,if,ledger,loses
S-0165	Prediction: no additional lepton-class survivors appear between n=1 and n=3477 under 3DL-equivalent runs.	3477,3dl-equivalent,additional,appear,between,lepton-class,no,prediction,runs,survivors,under
S-0166	Prediction: family ratio corridors are stable at 3DL across independent validator runs.	3dl,across,corridors,family,independent,prediction,ratio,runs,stable,validator
S-0167	Prediction: lepton class stays flow-dominant and satisfies delta-vs-eta law while boson class shows distinct shear bias.	bias,boson,class,delta-vs-eta,distinct,flow-dominant,law,lepton,prediction,satisfies,shear,shows,stays,while
S-0168	Prediction: index-arithmetic di-lepton composites fail certification and legal composites must re-certify.	certification,composites,di-lepton,fail,index-arithmetic,legal,must,prediction,re-certify
S-0169	Falsifier F1: an extra certified lepton-class survivor not observed experimentally falsifies the claim.	certified,claim,experimentally,extra,f1,falsifier,falsifies,lepton-class,not,observed,survivor
S-0170	Falsifier F2: inability to certify an observed lepton falsifies the claim.	certify,claim,f2,falsifier,falsifies,inability,lepton,observed
S-0171	Falsifier F3: survivor set instability under 3DL-equivalent protocols falsifies the claim.	3dl-equivalent,claim,f3,falsifier,falsifies,instability,protocols,set,survivor,under
S-0172	Falsifier F4: certified lepton violating width law or showing persistent bosonic square-bias retracts the class claim.	bosonic,certified,claim,class,f4,falsifier,law,lepton,persistent,retracts,showing,square-bias,violating,width
S-0173	Falsifier F5: any need for digits beyond 3DL to pass constitutes parameter leak and returns Theta.	3dl,any,beyond,constitutes,digits,f5,falsifier,leak,need,parameter,pass,returns,theta
S-0174	Methods require publishing N=4 perimeter algorithm P0, hinge conventions, and LOW slope source as theorem or receipt.	algorithm,conventions,hinge,low,methods,p0,perimeter,publishing,receipt,require,slope,source,theorem
S-0175	Methods require validator sweep over n from 1 to N_max with outputs O(n), D(n), C(n), H(n), survivor table hashes, and Cert(n) JSON.	cert,hashes,json,methods,n_max,outputs,over,require,survivor,sweep,table,validator
S-0176	Methods require explicit CRL rational digit cap and 3DL comparison policy.	3dl,cap,comparison,crl,digit,explicit,methods,policy,rational,require
S-0177	Methods require 2-D equal-area Neumann Helmholtz reporting of eta_FS class bands.	2-d,bands,class,equal-area,eta_fs,helmholtz,methods,neumann,reporting,require
S-0178	Methods require 3-D golden-vortex reporting of delta/r0 versus eta fit and 3DL band at eta=0.121.	121,3-d,3dl,band,delta,eta,fit,golden-vortex,methods,r0,reporting,require,versus
S-0179	Methods require family ratio computation directly from certificate rationals with PASS or Theta output.	certificate,computation,directly,family,methods,output,pass,ratio,rationals,require,theta
S-0180	Methods require repro pack publication of seeds, meshes, code, CSVs, and figure artifacts.	artifacts,code,csvs,figure,meshes,methods,pack,publication,repro,require,seeds
S-0181	Any rerun that changes PASS or Theta status must be logged as a failure event.	any,changes,event,failure,logged,must,pass,rerun,status,theta
S-0182	Lock framing is required because CRL forbids infinite-digit ontology and 3DL rejects overfitting by extra digits.	3dl,because,crl,digits,extra,forbids,framing,infinite-digit,lock,ontology,overfitting,rejects,required
S-0183	Lock certification provides necessity while free-parameter fitting provides only adjustable choice.	adjustable,certification,choice,fitting,free-parameter,lock,necessity,only,provides,while
S-0184	One wrong survivor falsifies the family, while parameter fitting can otherwise move goalposts.	can,falsifies,family,fitting,goalposts,move,one,otherwise,parameter,survivor,while,wrong
S-0185	Composite construction is re-certification, not index arithmetic; this explains single-lock leptons and triple-lock baryonic composites.	arithmetic,baryonic,composite,composites,construction,explains,index,leptons,not,re-certification,single-lock,triple-lock
S-0186	A Lock is a discrete survivor of the abstention-gated sieve with integer address n and a portable certificate.	abstention-gated,address,certificate,discrete,integer,lock,portable,sieve,survivor
S-0187	Lock certification requires passing 3DL/CRL, LOW, hazard gates, Delta receipts, and post-publication H-infinity checks.	3dl,certification,checks,crl,delta,gates,h-infinity,hazard,lock,low,passing,post-publication,receipts,requires
S-0188	Constants are represented as relations among certified Locks rather than tunable real parameters.	among,certified,constants,locks,parameters,rather,real,relations,represented,than,tunable
S-0189	Any uncertified candidate is routed to Theta.	any,candidate,routed,theta,uncertified
S-0190	A Lock is a stable fixed point of Delta dynamics.	delta,dynamics,fixed,lock,point,stable
S-0191	A Lock must descend LOW energy E_Delta = zeta Phi.	descend,e_delta,energy,lock,low,must,phi,zeta
S-0192	A Lock must survive abstention hazards.	abstention,hazards,lock,must,survive
S-0193	A Lock must admit a short rational CRL form with bounded digits at 3DL.	3dl,admit,bounded,crl,digits,form,lock,must,rational,short
S-0194	Lock address n is a ledger index and not an algebraic variable.	address,algebraic,index,ledger,lock,not,variable
S-0195	Minimal lock certificate is Cert(n) = {rational form, audit flags, meters}.	audit,cert,certificate,flags,form,lock,meters,minimal,rational
S-0196	No certificate implies no particle claim.	certificate,claim,implies,no,particle
S-0197	Survivor construction enumerates candidate n and applies LOW ranking K(n), hazards, stability, and CRL sieve.	applies,candidate,construction,crl,enumerates,hazards,low,ranking,sieve,stability,survivor
S-0198	Survivor table is S = {n : PASS} with attached certificates.	attached,certificates,pass,survivor,table
S-0199	3DL/CRL encode causal finitude by rejecting infinite-digit ontology.	3dl,causal,crl,encode,finitude,infinite-digit,ontology,rejecting
