rank	id	stage	label	statement
32	S-1222	0	ontology	Structural limits are legitimate outcomes when unbounded targets remain.
33	S-1225	0	ontology	This module extends prior problem anatomy with dynamic debate signature.
34	S-1476	0	ontology	Corridor-to-Soliton allows bounded amplitude reweighting.
35	S-1530	0	ontology	Filament requires bounded order and brittleness across concatenation.
36	S-1589	0	ontology	H-infinity requires bounded worst-case disturbance-to-output gain.
37	S-1598	0	ontology	Perturbation set w includes meter swap, band/window shuffle, dyadic shifts, null/placebo, and bounded load jitter.
38	S-1612	0	ontology	H∞ falsifier is unbounded growth of decision-facing z under admissible w.
39	S-1627	0	ontology	H∞ plain-language rule is shake-the-table with bounded wobble and invariant key identity.
40	S-1642	0	ontology	Receipt 4 is entropy budget with bounded on-ratio entropy and off-ratio rise.
41	S-1652	0	ontology	Pentad entropy check requires bounded on-ratio entropy and monotone off-ratio rise without anomalous dips.
42	S-1695	0	ontology	Omega runtime is bounded with elimination/propagation sweeps over graph structure.
43	S-0003	1	contract	N=4 with a fixed 3-decimal reporting contract defines the admissible finite image for core Delta transforms.
44	S-0007	1	contract	A finite contract C is encoded as N, q, B, A, S, and M for structure, precision, bandwidth, admissible operators, sign constraints, and metering.
45	S-0008	1	contract	The contract projection Pi_C maps continuum objects into an admissible finite representation class X_C.
46	S-0002	1	contract	DeInfinite maps a continuum ideal through a finite contract, then promotes the residual into dynamics.
47	S-0006	1	contract	A De-Infinite Lift is defined by X_cont, contract C, finite image X_fin, residual Delta_X, and lifted dynamics D_Delta.
48	S-0014	1	contract	The canonical pipeline is continuum to contract to finite image to residual to dynamics.
49	S-0018	1	contract	In the Yang-Mills channel, delta is defined as pi minus pi_eff under the declared finite contract.
50	S-0942	1	contract	Delta-Pinch is deterministic and finite on admissible candidate windows.
51	S-1820	1	contract	Corollary: admissible solutions lie in finite Sobolev class determined by alpha_n and eta.
52	S-1839	1	contract	Field completeness proposition states all admissible observables are functionals of five fields and finite derivatives.
53	S-1939	1	contract	Admissible subspace X_adm requires finite hazard, finite order functional, and finite brittleness.
54	S-0009	1	contract	The finite image is X_fin = Pi_C(X_cont).
55	S-0020	1	contract	In the PDE channel, derivative residuals from finite or regularized operators are promoted into effective transport or dissipation laws.
56	S-0023	1	contract	De-Infinite converts impossible closure demands into computable closure by contract projection plus residual promotion.
57	S-0115	1	contract	Prediction: at least one triple class certifies with finite hinge debt and final delta in band.
58	S-0134	1	contract	The Family Meter is deterministic and parameter-free under the declared contract.
59	S-0158	1	contract	Digits beyond 3DL are non-claims under the contract.
60	S-0162	1	contract	Any CRL or 3DL contract violation returns Theta.
61	S-0207	1	contract	Publication stage requires identity stability under admissible swaps and perturbations.
62	S-0219	1	contract	H-infinity is a post-lock portability guard across admissible meter, band, and level perturbations.
63	S-0230	1	contract	Compared to scheme-drifting parameters, locks are finite, auditable, and crisply falsifiable.
64	S-0235	1	contract	The Delta lock framework enforces necessary finite falsifiable physics.
65	S-0260	1	contract	Under CPL meters only filament, cavitation, and abstention are admissible exits.
66	S-0299	1	contract	Bands make truth finite and portable by fixed pass-fail windows.
67	S-0305	1	contract	Transport check verifies slope-spread <= 0.01 across admissible meters.
68	S-0336	1	contract	CRL is the finite digit budget gate behind causal admissibility.
69	S-0337	1	contract	A state is admissible under CRL only if represented by short rational within per-component digit caps.
70	S-0344	1	contract	CRL with D_max about 4 keeps addressability finite and limits combinatorial blow-up.
71	S-0384	1	contract	CRL keeps causality finite and auditable while blocking high-digit spoofing.
72	S-0431	1	contract	Dyadic falsifier is decision dependence on admissible meter swap at any level.
73	S-0437	1	contract	Methods must declare ladder policy including pooled axes, boundary rule, P2 operator, admissible meters, and tolerance signature.
74	S-0524	1	contract	Collapse is finite relaxation of Delta-Energy to a 3DL-stable minimum lock.
75	S-0534	1	contract	Bands restrict where projector updates are admissible.
76	S-0537	1	contract	A lock is a local 3DL minimum reached by finite monotone descent steps.
77	S-0539	1	contract	If all admissible edits raise Delta-Energy or eligibility is closed, abstention is required.
78	S-0655	1	contract	MDL-limited search is finite and beam-safe.
79	S-0740	1	contract	SHR falsifier is lock claim that skips P or A at stated tolerances under admissible meters.
80	S-0775	1	contract	Collapse invariants require finite curvature, non-increasing energy, minimum basin width >= epsilon_CRL, and local attraction robustness.
81	S-0880	1	contract	CRL/3DL invariant requires pass-fail only after 3-decimal quantized hats.
82	S-0938	1	contract	Delta-Pinch is a finite auditor-compactor that runs P0 through P6.
83	S-0948	1	contract	Delta-Pinch contract is hats-only with single 3DL quantization.
84	S-0949	1	contract	Delta-Pinch contract enforces SHR precedence Frequency->Phase->Amplitude->Space.
85	S-0950	1	contract	Delta-Pinch contract enforces Bands and hazard supremacy.
86	S-0978	1	contract	Delta-Pinch falsifier is meter-dependent decision flip or spread > 0.01 under admissible swap.
87	S-0985	1	contract	Delta-Pinch plain-language rule is finite squeeze with no band-fiddling.
88	S-1014	1	contract	Hinge falsifier is reproducible slope outside [0.99,1.01] at 3DL under admissible meters.
89	S-1016	1	contract	Hinge falsifier is bias flip or custody drift for same seed and CRL across admissible meters.
90	S-1025	1	contract	Hinge cheap falsifier is partner pass on one meter with fail after admissible swap.
91	S-1110	1	contract	Irrational numbers are interpreted as abstention records beyond finite lattice resolution.
92	S-1232	1	contract	Transport Keys require decision invariance under admissible meter swaps.
93	S-1241	1	contract	Meter-swap invariance requires R^2 >= 0.95 per admissible meter.
94	S-1242	1	contract	Meter-swap invariance requires identical pass-Theta decisions across admissible meters.
95	S-1249	1	contract	Merge phase fits slope-1 through origin per admissible meter.
96	S-1282	1	contract	Transport falsifier is decision flip under admissible meter swap.
97	S-1291	1	contract	Methods must declare admissible meters and tolerance signature.
98	S-1299	1	contract	Transport key plain-language rule is same where across admissible meters.
99	S-1345	1	contract	Pin falsifier includes pin flip under admissible meter swap after CRL.
100	S-1357	1	contract	Hats guarantee meter-swap invariance via co-location contract.
101	S-1358	1	contract	If admissible meters co-locate hats, quantized outputs and decisions match.
102	S-1361	1	contract	Hats-first plus quantization yields finite reproducible search.
103	S-1372	1	contract	No sub-CRL side-effects are admissible in automaton branches.
104	S-1373	1	contract	Co-location contract requires meter kernels/sampling preserve lattice decisions.
105	S-1462	1	contract	CPL enforces finite reproducible exits under fixed CRL/3DL bands.
106	S-1511	1	contract	CPL falsifier is exit-class flip under admissible meter swap with co-located hats.
107	S-1553	1	contract	Family pass requires key identity preservation under admissible perturbations.
108	S-1561	1	contract	H∞ family evidence shows identity preservation under admissible sweeps.
109	S-1576	1	contract	Corridor/filament falsifier is H-infinity identity break under admissible sweep.
110	S-1588	1	contract	H-infinity proves lock survives admissible perturbations on CRL hats.
111	S-1601	1	contract	H-infinity decision uses worst-case sup gain across admissible perturbations.
112	S-1611	1	contract	H∞ falsifier is admissible perturbation producing gain >1.
113	S-1625	1	contract	H∞ cheap falsifier is admissible band/window shuffle with gain >1 on hinge or hazard outputs.
114	S-1696	1	contract	Contractive tolerances converge in finite sweeps.
115	S-1748	1	contract	Swap tests require admissible meters and consistent catalogs.
116	S-1753	1	contract	Subtractive falsifier is decision flip or spread>0.01 under admissible swap.
117	S-1897	1	contract	Maximum acceleration remains finite under saturation assumptions.
118	S-1929	1	contract	RG thinning requires fewer admissible modes at coarser scales.
119	S-1959	1	contract	Unified closure theorem asserts unique admissible evolution without external axioms.
120	S-1972	1	contract	Sympathy tiling graph connects admissible adjacent cells.
121	S-1977	1	contract	Discrete search transitions are Markovian over admissible corridor edges.
122	S-2047	1	contract	AND collapse invariants require finite curvature, nonincreasing energy, basin width >= epsilon_CRL, and local attractor robustness.
123	S-0253	2	operator	Decision policy maps hazard score to commit, abstain, or steer.
124	S-0345	2	operator	Worked example 0.511 maps to 511 over 1000 and passes D_max 4.
125	S-0521	2	operator	Escalation ladder L0-L4 maps audit pass states to promotion and retreat signals.
126	S-0589	2	operator	MDL prior maps directly to Delta-Energy order and brittleness penalties.
127	S-0606	2	operator	Refusal-Abstention Decision Card maps L, sigma_phi^2, and terminal Delta-Energy to one CPL exit.
128	S-0749	2	operator	SHR reproducibility requires Delta-Report artifacts with lock list, epsilon-zeta maps, thinning, micro-nudge telemetry, and steer plan.
129	S-1072	2	operator	A second derivation maps 4x4 positions to 4-bit strings.
130	S-1425	2	operator	Receipts-per-season table explicitly maps Winter->Gate, Spring->Merge, Summer->Lock.
131	S-1455	2	operator	Each window maps to a single quantized point (C,P,L).
132	S-1668	2	operator	Pentad methods must declare partner maps, walls, phase-gap delta, and reciprocity tolerances.
133	S-1682	2	operator	Omega-Sieve inputs are winter seed hats, codex maps, and candidate graph G(V,E).
134	S-1849	2	operator	Euler-Lagrange dictionary maps each field variation to sector equations.
135	S-1866	2	operator	Canonical quantization maps fields to operators with equal-time commutators.
136	S-1914	2	operator	Cosmological homogeneous ansatz maps v to H(t)x and fields to time-only scalars.
137	S-1956	2	operator	Universal hazard gate maps couplings by exp(-H/H_c).
138	S-1970	2	operator	DAL continuum limit maps to unified Delta fields and reproduces AFFE, LOW suppression, and saturation behavior.
139	S-2037	2	operator	Audit operator maps configurations to PASS/FAIL/DEFER as partial map.
140	S-2041	2	operator	Guarded ONAL transition function maps state and candidate manifold to next state.
141	S-0005	3	residual	In the Yang-Mills Delta workflow, delta equals pi_continuum minus pi_effective under the declared contract.
142	S-1465	3	residual	CPL inputs include coherence K, bandwidth Gamma, capture gap epsilon, phase error e_phi, contrast statistic C, and hazard H.
143	S-1984	3	residual	Bridge residual is absolute hazard-integral gap between outcome corridors.
144	S-1988	3	residual	Error bound decays exponentially with bridge residual over hazard scale.
145	S-0004	3	residual	Residuals are not discarded as approximation error; they are treated as physically active parameters.
146	S-0010	3	residual	The residual is Delta_X = X_cont - X_fin.
147	S-0011	3	residual	The promotion axiom treats Delta_X as a governing parameter instead of approximation error to eliminate.
148	S-0015	3	residual	Heat-semigroup lifting uses S_epsilon = exp(epsilon Delta) with fixed epsilon greater than zero.
149	S-0016	3	residual	Regularized operators are nabla_epsilon = nabla S_epsilon and Delta_epsilon = Delta S_epsilon.
150	S-0019	3	residual	In the growth channel, eta is defined as phi minus phi_eff and promoted as a spectral or energy floor.
151	S-0045	3	residual	The Delta engine Hamiltonian is kinetic plus LOW penalty plus abstention term plus coherence term plus memory term.
152	S-0051	3	residual	The flow-shear gap is eta_FS = (E_shear/E_flow)_square - (E_shear/E_flow)_circle.
153	S-0056	3	residual	Thickness delta is defined as FWHM of S(r).
154	S-0057	3	residual	Thickness scales linearly with spectral floor as delta/r0 = c0 + c1*eta with high R^2.
155	S-0058	3	residual	At eta = 0.121 and 3DL, delta/r0 lies in the band 2.98 to 3.08.
156	S-0064	3	residual	Thickness existence is explained by discreteness imposing a spectral floor read by the golden-vortex meter as delta proportional to eta.
157	S-0065	3	residual	Geometry falsifier: if a 3DL-consistent alternative P0 sends eta to 0 or pi-3, Delta geometry fails.
158	S-0066	3	residual	LOW falsifier: if stable Delta dynamics prefer high-order tours over {1001, 0110}, LOW fails.
159	S-0068	3	residual	Golden-vortex falsifier: if delta/r0 is not linear in eta with high R^2 or misses the 3DL eta=0.121 band, width claim fails.
160	S-0072	3	residual	Reproducibility requires publishing Delta engine integrator, LOW weights, abstention form, and non-blow-up receipts.
161	S-0075	3	residual	Baryon on Delta is modeled as triple-lock derived from tour legality and hinge counting.
162	S-0104	3	residual	The 3-D golden-vortex meter tracks thickness delta as FWHM of shear profile.
163	S-0105	3	residual	Certified triple thickness settles into the delta/r0 = c0 + c1*eta band.
164	S-0121	3	residual	Falsifier F3: if certified triple delta violates eta-law at eta=0.121, composition claim fails.
165	S-0125	3	residual	Methods require Delta integrator with LOW weights and abstention nu_eff plus stage checkpoints.
166	S-0126	3	residual	Methods require stagewise Helmholtz curves, vortex delta trajectories, and hinge-window logs.
167	S-0155	3	residual	Width law is delta/r0 = c0 + c1*eta with certified 3DL band at eta = 0.121.
168	S-0178	3	residual	Methods require 3-D golden-vortex reporting of delta/r0 versus eta fit and 3DL band at eta=0.121.
169	S-0187	3	residual	Lock certification requires passing 3DL/CRL, LOW, hazard gates, Delta receipts, and post-publication H-infinity checks.
170	S-0190	3	residual	A Lock is a stable fixed point of Delta dynamics.
171	S-0202	3	residual	Lock pipeline stages are sieve, certificate build, Delta receipts, and publication stability.
172	S-0205	3	residual	Delta receipt stage requires hinge, Delta-Pentad, and Five-Subtractions agreement on CRL hats.
173	S-0231	3	residual	Compared to fit quality claims, Delta receipts plus H-infinity require cross-meter and cross-level objectivity.
174	S-0289	3	residual	Receipt band target is residual <= 1e-3 with >= 99 percent in-band pass rate.
175	S-0303	3	residual	Pointwise receipts require >= 99 percent in-band across declared residual checks.
176	S-0465	3	residual	E3 requires positive deltas in DeltaK, Delta epsilon_cap, and DeltaT versus sham with correct lag and sign.
177	S-0482	3	residual	E3 protocol requires split trial with plus, minus, and sham arms.
178	S-0500	3	residual	Delta-Report must include accepted-ratio tables, E3 delta tables, and survivor tables.
179	S-0509	3	residual	Methods must publish E0 calibration quantities including Delta omega Delta t, null CI, and gauge invariance.
180	S-0528	3	residual	Alpha, gamma, and delta coefficients in Delta-Energy are positive.
181	S-0544	3	residual	Lawful phase action requires coherence residual decrease.
182	S-0548	3	residual	Lawful amplitude action must increase harmony and reduce coherence residual.
183	S-0566	3	residual	Energy receipt R4 is axis-specific before-after residual audits.
184	S-0581	3	residual	Methods must declare alpha, lambda_k, gamma, delta, hinge bands, hazard cap, and eligibility policy.
185	S-0602	3	residual	MDL-energy falsifier F2 is accepted edit with positive brittleness delta.
186	S-0611	3	residual	Phase variance input is windowed residual variance with threshold sigma_phi^2 <= sigma_max^2.
187	S-0708	3	residual	Phase axis signals are wrapped phase error e_phi and s_phi = sin(e_phi).
188	S-0820	3	residual	COPL relevance gap is Delta_p = alpha0 + alpha1 r + alpha2(N-1) + alpha_XO c(p) + h(p).
189	S-0869	3	residual	Phase allows at most one snap if phase error exceeds declared band and eligibility remains open.
190	S-0991	3	residual	Hinge walls require ratio deviations inside [delta,1/delta].
191	S-1089	3	residual	Hexagon and nonagon coexistence in shared-side planar setup leaves a 100-degree gap.
192	S-1090	3	residual	The 100-degree gap is presented as unfillable by regular polygons.
193	S-1300	3	residual	Delta Pins are three Boolean causal checks: Phase, Topology, Closure.
194	S-1301	3	residual	Delta Pins must pass in fixed order during Merge.
195	S-1302	3	residual	Delta Pins run on CRL hats.
196	S-1318	3	residual	Phase sweep predicate uses Delta_kappa <= delta at windows.
197	S-1349	3	residual	Delta Hats are dimensionless co-located variables on three-decimal lattice.
198	S-1394	3	residual	Phase hats include wrapped phase error and phase variance.
199	S-1459	3	residual	Phase axis measures wrapped phase error relative to low-order relation and hinge corridor.
200	S-1466	3	residual	Capture gap epsilon is [2piK-Gamma]_+.
201	S-1637	3	residual	Phase conjugacy includes dual-gap criterion Delta-kappa <= delta.
202	S-1649	3	residual	Pentad phase check requires Delta-kappa<=delta and phase cancellation at lock windows.
203	S-1679	3	residual	Omega-Sieve outputs forced corridor, ambiguous residual, or collapse-to-Theta.
204	S-1690	3	residual	Ambiguous residual outcome is multiple components with identical Boolean path requiring ranking only.
205	S-1699	3	residual	Omega OP-1 computes Delta vectors.
206	S-1704	3	residual	Omega receipts include survivor set with delta ranges.
207	S-1705	3	residual	Omega receipts include elimination log with rule, vertex, and delta witness.
208	S-1825	3	residual	Delta fundamental field set is {rho, v_i, A_i, S, theta}.
209	S-1848	3	residual	Stationarity principle is delta S = 0 across all five fields with admissibility constraints.
210	S-1859	3	residual	Canonical Poisson brackets are {u,u}=0, {pi,pi}=0, {u,pi}=delta.
211	S-1911	3	residual	Echo frequency comb approximates m pi / Delta t_echo.
212	S-1938	3	residual	Global configuration space X includes all Delta fields and derived observables.
213	S-1951	3	residual	Unified Delta action includes flow, shear, sediment, phase, LOW, abstention, CPL, COPL, and hazard terms.
214	S-1985	3	residual	Prediction confidence requires bridge residual above minimum.
215	S-0012	4	promotion	Lifted dynamics are posed as u_dot = F(u; Delta_X, C) or u_{n+1} = Phi_C(u_n; Delta_X).
216	S-0044	4	promotion	The lattice is grown by iterative locking dynamics and is not an assumed background.
217	S-0173	4	promotion	Falsifier F5: any need for digits beyond 3DL to pass constitutes parameter leak and returns Theta.
218	S-0184	4	promotion	One wrong survivor falsifies the family, while parameter fitting can otherwise move goalposts.
219	S-0223	4	promotion	Failure mode F4 is parameter leak: any required digit beyond 3DL.
220	S-0761	4	promotion	LOW provides unified existence logic across grid physics, cymatics, and chemistry.
221	S-0764	4	promotion	Zeros under LOW are active deletions not empty nothing.
222	S-1114	4	promotion	Mathematics and physics are claimed to be the same lock-structure viewed in two representations.
223	S-1133	4	promotion	The framework closes with claim that mathematics was always already physics.
224	S-1567	4	promotion	One-snap invariant remains active per window.
225	S-1771	4	promotion	UMK lock map is sparse and treats zero as active deletion by vacuum.
226	S-1775	4	promotion	UMK motivation is eliminating parameter drift via certified lock addresses.
227	S-1807	4	promotion	UMK plain-language rule is front-door triage with active zeros and rare survivors.
228	S-1918	4	promotion	Cosmological sediment dynamics are dot S = eta_cos rho - gamma_cos S.
229	S-1954	4	promotion	CPL sector includes contrast and phase dynamics weighted by luminality.
230	S-2006	4	promotion	CPL Euler-Lagrange equations govern C,phi,Lambda coupled dynamics.
231	S-2025	4	promotion	Hazard-modified dynamics add repulsive hazard-gradient term.
232	S-2063	4	promotion	Persistence structural role converts dynamics into memory and law emergence.
233	S-0144	5	application	Lepton addresses are certified lock identifiers rather than floating mass parameters.
234	S-1834	5	application	S is nonnegative sediment-memory field and mass analog.
235	S-1867	5	application	Quantum Hamiltonian operator is integral of operator-valued Hamiltonian density.
236	S-1872	5	application	High-order modes gain large effective mass and are dynamically suppressed.
237	S-1875	5	application	Bounded-energy quantum states have decaying high-order excitations.
238	S-1876	5	application	Quantum summary: abstention geometry preserved, collapse dynamical, classicality from locked low-hazard phase coherence.
239	S-0013	5	application	A lifted model is accepted only if invariance, stability, scaling, and falsifier gates all pass.
240	S-0017	5	application	Integral and Fourier contracts replace integrals with epsilon-grid sums plus debt term M_def and replace pi with pi_Delta.
241	S-0021	5	application	In the hinge channel, Delta_R = 1 - R_C is promoted into transition, locking, or decoherence thresholds.
242	S-0025	5	application	Flow is the divergent or irrotational component and represents the circle tendency.
243	S-0026	5	application	Shear is the solenoidal or vortical component and represents the square or lattice tendency.
244	S-0027	5	application	Flow and shear are Helmholtz factors of one field u and not separate vacua.
245	S-0028	5	application	The field decomposition is u = grad(phi) plus grad_perp(psi).
246	S-0029	5	application	The flow shear split is operationally computed by bounded-domain Poisson solves with declared boundary conditions.
247	S-0030	5	application	The ONAL binary emerges as one thing and its shadow: 1 as knot presence and 0 as abstention constraint.
248	S-0031	5	application	A knot is a localized rotating coherence that seeds structure.
249	S-0032	5	application	Abstention is the curvature permission structure cast by the knot.
250	S-0033	5	application	The ONAL tour is 00 to 01 to 11 to 10 to 00 when tension is nonzero.
251	S-0034	5	application	LOCK is committed memory as a constraint that outlives the seed.
252	S-0035	5	application	LOW prunes ONAL tours to two live closures: 1001 and 0110.
253	S-0036	5	application	LOW pruning explains closure of decisions and persistence of memory.
254	S-0037	5	application	The geometric spectral floor is eta = pi - pi_Delta under fixed N=4 perimeter functional P0.
255	S-0038	5	application	With pinned N=4 procedure, eta is approximately 0.121.
256	S-0039	5	application	Eta is the minimum curvature or energy per lock for discreteness embedded in continuum.
257	S-0040	5	application	The growth hinge is h = 3/2.
258	S-0041	5	application	Growth steps pass a 3:2 hinge between stable 3:1 flow-constraint blocks.
259	S-0042	5	application	Structure bootstraps through AND self-reference, LOCK first constraint, OR feedback, NOT separation, then AND with memory.
260	S-0043	5	application	Repeated hinge cycling adds constraint layers and crystallizes lattice from flow.
261	S-0046	5	application	The LOW penalty suppresses high-order chatter.
262	S-0047	5	application	The abstention term bends the symplectic manifold to remove blow-up trajectories.
263	S-0048	5	application	The coherence and memory terms steer trajectories toward stable LOCK tours.
264	S-0049	5	application	The flow-shear meter uses equal-area normalization and bounded-domain Helmholtz decomposition with Neumann conditions.
265	S-0050	5	application	The flow-shear energies are E_flow = average_D(|u_in|^2) and E_shear = average_D(|u_out|^2).
266	S-0052	5	application	Observed direction is eta_FS > 0 with squares carrying more shear per flow than circles.
267	S-0053	5	application	The flow-shear band depends on ensemble choice and is treated as a meter rather than a universal constant.
268	S-0054	5	application	The golden-vortex meter uses omega(r) = omega0 / (1 + (r/r0)^alpha) with alpha = phi.
269	S-0055	5	application	Shear profile is S(r) = r * partial_r omega.
270	S-0059	5	application	The circle-flow and square-shear correspondence is empirically metered rather than asserted rhetorically.
271	S-0060	5	application	Binary persistence is explained by 1 as knot and 0 as cast constraint with LOCK memory.
272	S-0061	5	application	Directional growth follows from asymmetry: squares can appear circular by averaging while circles cannot uniquely recover squares.
273	S-0062	5	application	LOW preference is explained by higher symplectic cost of high-order tours under abstention.
274	S-0063	5	application	Lattice emergence is driven by positive lock-curvature feedback that increases subsequent lock probability.
275	S-0067	5	application	Flow-shear falsifier: if eta_FS is persistently negative under declared ensemble and normalization, square-to-shear claim fails.
276	S-0069	5	application	Abstention falsifier: if gradients increase and blow-up occurs without hazard triggers, abstention-as-geometry fails.
277	S-0070	5	application	Reproducibility requires publishing P0 algorithm and normalization.
278	S-0071	5	application	Reproducibility requires publishing Helmholtz meter code, seeds, and equal-area protocol.
279	S-0073	5	application	Reproducibility requires publishing vortex profile protocol, eta sweep, plots, and CSV artifacts.
280	S-0074	5	application	The one-sentence closure is that flow-shear bootstrap plus LOW plus spectral floor yields lattice growth one hinge at a time.
281	S-0076	5	application	Confinement is certification failure of illegal tours or under-certified assemblies rather than an added force.
282	S-0077	5	application	Triples are minimal survivors because they close hinge cycles without violating LOW or abstention.
283	S-0078	5	application	Composite claims are tested by compositional sieve plus meters plus falsifiers.
284	S-0079	5	application	The confinement claim is that physical composites must pass certification under declared tours, meters, and hazards.
285	S-0080	5	application	Composition is not index arithmetic over survivor addresses.
286	S-0081	5	application	A composite candidate is Cert(n_a tensor n_b tensor n_c | tour, meters, hazards).
287	S-0082	5	application	No certificate implies no particle.
288	S-0083	5	application	Live ONAL tours under LOW are 1001 and 0110.
289	S-0084	5	application	Composite legality requires embedding live tours as interleaved sub-tours.
290	S-0085	5	application	Legal composition must cross the 3:2 hinge once per accreted block.
291	S-0086	5	application	Legal composition must return to 3:1 without dead corners 1100 or 0011.
292	S-0087	5	application	Single locks are trivially legal with one hinge per block.
293	S-0088	5	application	Pairs fail by dead-corner forcing or double-hinge conflict under LOW.
294	S-0089	5	application	Triples admit braided interleaving of 1001 and 0110 with global return to 3:1.
295	S-0090	5	application	Three is the minimal legal composite cardinality.
296	S-0091	5	application	Minimal hinge schedule is hinges = N + (N - 1).
297	S-0092	5	application	Single has hinge count 1.
298	S-0093	5	application	Pair has hinge count 3 but fails legality in the middle hinge.
299	S-0094	5	application	Triple has hinge count 5 with legal braid closure.
300	S-0095	5	application	Beyond triples, hinge debt rises superlinearly and is LOW-suppressed unless an additional role-lock participates.
301	S-0096	5	application	Pair and separated-quark failure modes include tour illegality.
302	S-0097	5	application	Pair and separated-quark failure modes include LOW explosion from high-order detuning.
303	S-0098	5	application	Pair and separated-quark failure modes include abstention pinch from over-shear during separation.
304	S-0099	5	application	Triple success requires braided LOW-order path plus final relocker settlement.
305	S-0100	5	application	Composite diagnostics use stagewise pre-hinge, mid-hinge, and post-hinge metering.
306	S-0101	5	application	The 2-D Helmholtz meter tracks E_flow, E_shear, and eta_FS = (E_shear/E_flow)_square - (E_shear/E_flow)_circle.
307	S-0102	5	application	Pair signature is sustained positive eta_FS surge without legal relief.
308	S-0106	5	application	Pair thickness fails to stabilize and drifts or fragments.
309	S-0107	5	application	The Delta-field hinge meter tracks corridor time tau_H near 3:2.
310	S-0108	5	application	Triples show two extra transient hinge windows beyond constituent hinges, then tau_H declines.
311	S-0109	5	application	Pairs accumulate tau_H without closure.
312	S-0110	5	application	Proton-neutron class composites are treated as certified triples produced by scheduler plus meter gates.
313	S-0111	5	application	Triple assembly is declared then scheduled by legal hinge braids minimizing LOW penalties.
314	S-0112	5	application	Certification requires Helmholtz surge-relief, vortex settle-in-band, and hinge-window closure.
315	S-0113	5	application	Certified composite receives a new ledger address and certificate.
316	S-0114	5	application	Prediction: pair composites do not certify under declared hazards and meters.
317	S-0117	5	application	Prediction: minimal surviving composite class is N=3.
318	S-0118	5	application	Prediction: N=4 needs extra relocker role and stronger LOW suppression.
319	S-0119	5	application	Falsifier F1: if any pair certifies under declared P0, meters, and hazards, confinement claim fails.
320	S-0120	5	application	Falsifier F2: if no triple certifies under 3DL-equivalent protocols, claim fails.
321	S-0122	5	application	Falsifier F4: if survivor set is unstable across 3DL-equivalent runs, ledger claim fails.
322	S-0123	5	application	Methods require pinned P0, eta, and hinge corridor definition.
323	S-0124	5	application	Methods require tour scheduler over legal interleavings of 1001 and 0110 with dead-corner rejection.
324	S-0127	5	application	Methods require CRL/3DL evaluation and hazard logging with Delta-Pinch trip to Theta on violation.
325	S-0128	5	application	Confinement emerges as certification refusal of illegal assemblies with no tuning knob.
326	S-0129	5	application	Quarks remain confined because illegal separations cannot re-certify into stable locks.
327	S-0130	5	application	Baryons persist because triple assemblies can certify as stable re-locked composites.
